PS_Station,Accomm_Status
"Health Care-Department of Food & Public Distribution, Delhi",0
"Health Care-Food, Civil supplies and Consumer Affairs Department, Jaipur",0
"Health Care-Medanta, Sri ganganagar",0
"Health Care-Proindia Healthcare LLP, Kolkata",0
"Health Care-Proindia Healthcare LLP, New Delhi",0
"Health Care-Proindia Healthcare LLP, Pune",0
"Infrastructure-BSCPL Infrastructure Ltd., , Chennai",0
"Infrastructure-CPWD, Ajmer",0
"Infrastructure-CPWD, Bhilwara",0
"Infrastructure-L & T , Mumbai",0
"IT-Abhay Command and Control Centre, Kota",0
"IT-GoScale Technologies, Bangalore",0
"IT-VoiceQube, Tirupati",0
"Mechanical-Daimler India Commercial Vehicles, Chennai",0
"Mechanical-Hindustan National Glass & Industries Ltd, Pondicherry",0
"Mechanical-JBM Auto, Bhiwadi",0
"Mechanical-JBM Auto, Indore",0
"Mechanical-NBC Bearings, Jaipur",0
"Mechanical-PGS Energy Services Pvt. Ltd., Ahmedabad",0
"Textile-Deepak Spinners Ltd, Chandigarh",0
